Date	Keyword	City	State	Value	Center	latitude	longitude
20230203	VinylChloride	Springfield	MO	3	Springfield	37.1968298	-93.2946576
20230203	VinylChloride	Columbus	OH	3	Columbus	39.9622601	-83.0007065
20230203	VinylChloride	Little Rock-Pine Bluff	AR	2	Pine Bluff	34.2157064	-92.0140402
20230203	VinylChloride	Wilkes Barre-Scranton	PA	2	Scranton	41.4086874	-75.6621294
20230203	VinylChloride	Cleveland-Akron (Canton)	OH	2	Akron	41.083064	-81.518485
20230203	VinylChloride	West Palm Beach-Ft. Pierce	FL	2	Ft. Pierce	27.4467056	-80.3256056
20230203	VinylChloride	St. Louis	MO	2	St. Louis	38.6280278	-90.1910154
20230203	VinylChloride	Austin	TX	2	Austin	30.2711286	-97.7436995
20230203	VinylChloride	Louisville	KY	2	Louisville	38.2542376	-85.759407
20230203	VinylChloride	Norfolk-Portsmouth-Newport News	VA	1	Newport News	36.9775016	-76.42977
20230203	VinylChloride	Hartford & New Haven	CT	1	New Haven	41.3082138	-72.9250518
20230203	VinylChloride	Tampa-St. Petersburg (Sarasota)	FL	1	St. Petersburg	27.7703796	-82.6695085
20230203	VinylChloride	Portland	OR	1	Portland	45.5202471	-122.674194
20230203	VinylChloride	Orlando-Daytona Beach-Melbourne	FL	1	Melbourne	28.106471	-80.6371513
20230204	VinylChloride	Presque Isle	ME	100	Presque Isle	46.6832082	-68.0141431
20230204	VinylChloride	Youngstown	OH	26	Youngstown	41.1035786	-80.6520161
20230204	VinylChloride	Casper-Riverton	WY	22	Riverton	43.0247245	-108.380727
20230204	VinylChloride	Columbus-Tupelo-West Point	MS	19	West Point	33.6076186	-88.6503255
20230204	VinylChloride	Lake Charles	LA	18	Lake Charles	30.2072293	-93.2061609
20230204	VinylChloride	Dothan	AL	17	Dothan	31.2237434	-85.3933906
20230204	VinylChloride	Bakersfield	CA	14	Bakersfield	35.3738712	-119.0194639
20230204	VinylChloride	Jonesboro	AR	11	Jonesboro	35.8272257	-90.6949871
20230204	VinylChloride	Bowling Green	KY	11	Bowling Green	36.9903199	-86.4436018
20230204	VinylChloride	Watertown	NY	10	Watertown	43.9747838	-75.9107565
20230204	VinylChloride	Abilene-Sweetwater	TX	10	Sweetwater	32.4709519	-100.405938
20230204	VinylChloride	Anchorage	AK	10	Anchorage	61.2163129	-149.894852
20230204	VinylChloride	Bangor	ME	9	Bangor	44.8011821	-68.7778138
20230204	VinylChloride	Rochester MN-Mason City IA-Austin	MN	8	Austin	43.6680928	-92.9744896
20230204	VinylChloride	Lincoln & Hastings-Kearney	NE	7	Kearney	40.4906216	-98.9472344
20230204	VinylChloride	Springfield-Holyoke	MA	4	Holyoke	42.2071434	-72.60765
20230204	VinylChloride	Cedar Rapids-Waterloo-Iowa City & Dubuque	IA	4	Dubuque	42.5006243	-90.6647985
20230204	VinylChloride	Columbia	SC	3	Columbia	34.0007493	-81.0343313
20230204	VinylChloride	Champaign & Springfield-Decatur	IL	3	Decatur	39.8454163	-88.9524151
20230204	VinylChloride	Savannah	GA	3	Savannah	32.0564572	-81.0951271
20230204	VinylChloride	Eugene	OR	3	Eugene	44.0505054	-123.0950506
20230204	VinylChloride	Pittsburgh	PA	3	Pittsburgh	40.4416941	-79.9900861
20230204	VinylChloride	Portland-Auburn	ME	2	Auburn	44.0978509	-70.2311655
20230204	VinylChloride	Roanoke-Lynchburg	VA	2	Lynchburg	37.4137536	-79.1422464
20230204	VinylChloride	Cincinnati	OH	2	Cincinnati	39.1014537	-84.5124602
20230204	VinylChloride	Baltimore	MD	2	Baltimore	39.2908816	-76.610759
20230204	VinylChloride	Toledo	OH	2	Toledo	41.6529143	-83.5378173
20230204	VinylChloride	Cleveland-Akron (Canton)	OH	2	Akron	41.083064	-81.518485
20230204	VinylChloride	Salt Lake City	UT	2	Salt Lake City	40.7596198	-111.886797
20230204	VinylChloride	Las Vegas	NV	1	Las Vegas	36.1672559	-115.148516
20230204	VinylChloride	Greensboro-High Point-Winston Salem	NC	1	Winston Salem	36.0998131	-80.2440518
20230204	VinylChloride	Milwaukee	WI	1	Milwaukee	43.0349931	-87.922497
20230204	VinylChloride	Phoenix	AZ	1	Phoenix	33.4484367	-112.074141
20230204	VinylChloride	Kansas City	MO	1	Kansas City	39.100105	-94.5781416
20230204	VinylChloride	San Francisco-Oakland-San Jose	CA	1	San Jose	37.3361663	-121.890591
20230205	VinylChloride	Juneau	AK	100	Juneau	58.3019496	-134.419734
20230205	VinylChloride	Youngstown	OH	34	Youngstown	41.1035786	-80.6520161
20230205	VinylChloride	Cheyenne WY-Scottsbluff	NE	17	Scottsbluff	41.862302	-103.6627088
20230205	VinylChloride	Fargo-Valley City	ND	12	Valley City	46.923313	-98.003155
20230205	VinylChloride	Bowling Green	KY	12	Bowling Green	36.9903199	-86.4436018
20230205	VinylChloride	San Angelo	TX	11	San Angelo	31.4649685	-100.4405094
20230205	VinylChloride	Watertown	NY	11	Watertown	43.9747838	-75.9107565
20230205	VinylChloride	Huntsville-Decatur (Florence)	AL	10	Decatur	34.6240205	-87.05791872812708
20230205	VinylChloride	Pittsburgh	PA	10	Pittsburgh	40.4416941	-79.9900861
20230205	VinylChloride	Lake Charles	LA	8	Lake Charles	30.2072293	-93.2061609
20230205	VinylChloride	Odessa-Midland	TX	7	Midland	31.9973662	-102.077948
20230205	VinylChloride	South Bend-Elkhart	IN	7	Elkhart	41.6012796	-85.8590603
20230205	VinylChloride	Cleveland-Akron (Canton)	OH	6	Akron	41.083064	-81.518485
20230205	VinylChloride	La Crosse-Eau Claire	WI	5	Eau Claire	44.811349	-91.4984941
20230205	VinylChloride	Lansing	MI	4	Lansing	42.7337712	-84.5553805
20230205	VinylChloride	Erie	PA	4	Erie	42.1294712	-80.0852695
20230205	VinylChloride	Bangor	ME	4	Bangor	44.8011821	-68.7778138
20230205	VinylChloride	Chico-Redding	CA	4	Redding	40.5863563	-122.391675
20230205	VinylChloride	Burlington VT-Plattsburgh	NY	3	Plattsburgh	44.69282	-73.45562
20230205	VinylChloride	Augusta	GA	3	Augusta	33.4709714	-81.9748429
20230205	VinylChloride	Macon	GA	2	Macon	32.8406946	-83.6324022
20230205	VinylChloride	Mobile AL-Pensacola (Ft. Walton Beach)	FL	2	Pensacola	30.421309	-87.2169149
20230205	VinylChloride	Johnstown-Altoona	PA	2	Altoona	40.518681	-78.394736
20230205	VinylChloride	Columbus	OH	2	Columbus	39.9622601	-83.0007065
20230205	VinylChloride	Dayton	OH	2	Dayton	39.7589478	-84.1916069
20230205	VinylChloride	Santa Barbara-Santa Maria-San Luis Obispo	CA	2	San Luis Obispo	35.3540209	-120.3757163
20230205	VinylChloride	Green Bay-Appleton	WI	2	Appleton	44.2613967	-88.4069744
20230205	VinylChloride	Buffalo	NY	2	Buffalo	42.8867166	-78.8783922
20230205	VinylChloride	Baton Rouge	LA	2	Baton Rouge	30.4507936	-91.1391153
20230205	VinylChloride	Toledo	OH	2	Toledo	41.6529143	-83.5378173
20230205	VinylChloride	Birmingham	AL	1	Birmingham	33.5206824	-86.8024326
20230205	VinylChloride	Richmond-Petersburg	VA	1	Petersburg	37.227928	-77.4019268
20230205	VinylChloride	Colorado Springs-Pueblo	CO	1	Pueblo	38.2544472	-104.609141
20230205	VinylChloride	Jacksonville	FL	1	Jacksonville	30.3321838	-81.655651
20230205	VinylChloride	Miami-Ft. Lauderdale	FL	1	Ft. Lauderdale	26.1223084	-80.1433786
20230205	VinylChloride	Norfolk-Portsmouth-Newport News	VA	1	Newport News	36.9775016	-76.42977
20230205	VinylChloride	Grand Rapids-Kalamazoo-Battle Creek	MI	1	Battle Creek	42.3192548	-85.1824269
20230205	VinylChloride	Louisville	KY	1	Louisville	38.2542376	-85.759407
20230205	VinylChloride	Kansas City	MO	1	Kansas City	39.100105	-94.5781416
20230205	VinylChloride	Milwaukee	WI	1	Milwaukee	43.0349931	-87.922497
20230205	VinylChloride	Greenville-Spartanburg SC-Asheville NC-Anderson	SC	1	Anderson	34.5258335	-82.652962
20230205	VinylChloride	Portland	OR	1	Portland	45.5202471	-122.674194
20230205	VinylChloride	Indianapolis	IN	1	Indianapolis	39.7683331	-86.1583502
20230205	VinylChloride	Salt Lake City	UT	1	Salt Lake City	40.7596198	-111.886797
20230206	VinylChloride	Youngstown	OH	100	Youngstown	41.1035786	-80.6520161
20230206	VinylChloride	Presque Isle	ME	62	Presque Isle	46.6832082	-68.0141431
20230206	VinylChloride	Great Falls	MT	49	Great Falls	47.5048851	-111.29189
20230206	VinylChloride	Cheyenne WY-Scottsbluff	NE	47	Scottsbluff	41.862302	-103.6627088
20230206	VinylChloride	Elmira	NY	28	Elmira	42.0897965	-76.8077338
20230206	VinylChloride	Harrisonburg	VA	27	Harrisonburg	38.4493315	-78.8688833
20230206	VinylChloride	Sherman TX-Ada	OK	25	Ada	34.7743383	-96.6783651
20230206	VinylChloride	Eureka	CA	24	Eureka	40.7906871	-124.1673746
20230206	VinylChloride	Pittsburgh	PA	22	Pittsburgh	40.4416941	-79.9900861
20230206	VinylChloride	Quincy IL-Hannibal MO-Keokuk	IA	22	Keokuk	41.3154792	-92.1867128
20230206	VinylChloride	Mankato	MN	20	Mankato	44.1634663	-93.9993505
20230206	VinylChloride	Beaumont-Port Arthur	TX	19	Port Arthur	29.8988618	-93.9288723
20230206	VinylChloride	Binghamton	NY	18	Binghamton	42.0987125	-75.9125262
20230206	VinylChloride	Lansing	MI	18	Lansing	42.7337712	-84.5553805
20230206	VinylChloride	Bend	OR	18	Bend	44.0581728	-121.3153096
20230206	VinylChloride	Marquette	MI	15	Marquette	46.4481521	-87.6305899
20230206	VinylChloride	Cleveland-Akron (Canton)	OH	15	Akron	41.083064	-81.518485
20230206	VinylChloride	Wheeling WV-Steubenville	OH	14	Steubenville	40.3697905	-80.6339638
20230206	VinylChloride	Missoula	MT	12	Missoula	46.8701049	-113.995267
20230206	VinylChloride	Corpus Christi	TX	11	Corpus Christi	27.7635302	-97.4033191
20230206	VinylChloride	Terre Haute	IN	11	Terre Haute	39.4667025	-87.4139119
20230206	VinylChloride	Augusta	GA	10	Augusta	33.4709714	-81.9748429
20230206	VinylChloride	Salisbury	MD	10	Salisbury	38.366027	-75.6009964
20230206	VinylChloride	Bangor	ME	10	Bangor	44.8011821	-68.7778138
20230206	VinylChloride	Idaho Falls-Pocatello	ID	10	Pocatello	42.8620287	-112.450627
20230206	VinylChloride	Anchorage	AK	9	Anchorage	61.2163129	-149.894852
20230206	VinylChloride	Tyler-Longview(Lufkin & Nacogdoches)	TX	9	Longview	32.5007031	-94.74049
20230206	VinylChloride	Minot-Bismarck-Dickinson(Williston)	ND	8	Dickinson	46.8791756	-102.7896242
20230206	VinylChloride	Lafayette	LA	7	Lafayette	30.2043259	-92.0298813
20230206	VinylChloride	Peoria-Bloomington	IL	7	Bloomington	40.4797828	-88.9939147
20230206	VinylChloride	Mobile AL-Pensacola (Ft. Walton Beach)	FL	6	Pensacola	30.421309	-87.2169149
20230206	VinylChloride	Wilmington	NC	6	Wilmington	34.2257282	-77.9447107
20230206	VinylChloride	South Bend-Elkhart	IN	6	Elkhart	41.6012796	-85.8590603
20230206	VinylChloride	Birmingham	AL	5	Birmingham	33.5206824	-86.8024326
20230206	VinylChloride	Springfield	MO	5	Springfield	37.1968298	-93.2946576
20230206	VinylChloride	Sioux Falls(Mitchell)	SD	5	Sioux Falls	43.5488256	-96.7307737
20230206	VinylChloride	Columbus	OH	5	Columbus	39.9622601	-83.0007065
20230206	VinylChloride	Charlottesville	VA	5	Charlottesville	38.029306	-78.4766781
20230206	VinylChloride	Tri-Cities	TN-VA	4	Cities	36.457685	-82.534731
20230206	VinylChloride	Ft. Smith-Fayetteville-Springdale-Rogers	AR	4	Rogers	36.3320197	-94.1185366
20230206	VinylChloride	Rochester	NY	4	Rochester	43.157285	-77.615214
20230206	VinylChloride	Cedar Rapids-Waterloo-Iowa City & Dubuque	IA	4	Dubuque	42.5006243	-90.6647985
20230206	VinylChloride	Burlington VT-Plattsburgh	NY	4	Plattsburgh	44.69282	-73.45562
20230206	VinylChloride	Cincinnati	OH	3	Cincinnati	39.1014537	-84.5124602
20230206	VinylChloride	Waco-Temple-Bryan	TX	3	Bryan	30.6743643	-96.3699632
20230206	VinylChloride	Greensboro-High Point-Winston Salem	NC	3	Winston Salem	36.0998131	-80.2440518
20230206	VinylChloride	Honolulu	HI	3	Honolulu	21.304547	-157.855676
20230206	VinylChloride	Lexington	KY	3	Lexington	38.0464066	-84.4970393
20230206	VinylChloride	Charleston	SC	3	Charleston	32.7884363	-79.9399309
20230206	VinylChloride	Columbia	SC	3	Columbia	34.0007493	-81.0343313
20230206	VinylChloride	Grand Rapids-Kalamazoo-Battle Creek	MI	2	Battle Creek	42.3192548	-85.1824269
20230206	VinylChloride	Tulsa	OK	2	Tulsa	36.1563122	-95.9927516
20230206	VinylChloride	Hartford & New Haven	CT	2	New Haven	41.3082138	-72.9250518
20230206	VinylChloride	Raleigh-Durham (Fayetteville)	NC	2	Durham	35.996653	-78.9018053
20230206	VinylChloride	San Antonio	TX	2	San Antonio	29.4246002	-98.4951405
20230206	VinylChloride	Greenville-Spartanburg SC-Asheville NC-Anderson	SC	2	Anderson	34.5258335	-82.652962
20230206	VinylChloride	Portland	OR	2	Portland	45.5202471	-122.674194
20230206	VinylChloride	Seattle-Tacoma	WA	1	Tacoma	47.2495798	-122.439874
20230206	VinylChloride	Minneapolis-St. Paul	MN	1	St. Paul	44.9497487	-93.0931028
20230206	VinylChloride	Detroit	MI	1	Detroit	42.3315509	-83.0466403
20230206	VinylChloride	Boston MA-Manchester	NH	1	Manchester	42.9956397	-71.4547891
20230206	VinylChloride	West Palm Beach-Ft. Pierce	FL	1	Ft. Pierce	27.4467056	-80.3256056
20230206	VinylChloride	Salt Lake City	UT	1	Salt Lake City	40.7596198	-111.886797
20230206	VinylChloride	Houston	TX	1	Houston	29.7589382	-95.3676974
20230206	VinylChloride	Chicago	IL	1	Chicago	41.8755616	-87.6244212
20230206	VinylChloride	San Diego	CA	1	San Diego	32.7174202	-117.1627728
20230206	VinylChloride	St. Louis	MO	1	St. Louis	38.6280278	-90.1910154
20230206	VinylChloride	Tampa-St. Petersburg (Sarasota)	FL	1	St. Petersburg	27.7703796	-82.6695085
20230206	VinylChloride	Washington DC (Hagerstown	MD)	1	Washington DC	39.0108743	-77.17737392001567
20230206	VinylChloride	Los Angeles	CA	1	Los Angeles	34.0536909	-118.242766
20230206	VinylChloride	Philadelphia	PA	1	Philadelphia	39.9527237	-75.1635262
20230206	VinylChloride	Atlanta	GA	1	Atlanta	33.7489924	-84.3902644
20230207	VinylChloride	Youngstown	OH	100	Youngstown	41.1035786	-80.6520161
20230207	VinylChloride	Victoria	TX	79	Victoria	28.8026443	-96.9766308
20230207	VinylChloride	Mankato	MN	63	Mankato	44.1634663	-93.9993505
20230207	VinylChloride	Casper-Riverton	WY	59	Riverton	43.0247245	-108.380727
20230207	VinylChloride	Parkersburg	WV	51	Parkersburg	39.2699565	-81.5506916
20230207	VinylChloride	Butte-Bozeman	MT	40	Bozeman	45.6794293	-111.044047
20230207	VinylChloride	Watertown	NY	34	Watertown	43.9747838	-75.9107565
20230207	VinylChloride	Charleston	SC	27	Charleston	32.7884363	-79.9399309
20230207	VinylChloride	Bowling Green	KY	27	Bowling Green	36.9903199	-86.4436018
20230207	VinylChloride	Tyler-Longview(Lufkin & Nacogdoches)	TX	26	Longview	32.5007031	-94.74049
20230207	VinylChloride	Erie	PA	25	Erie	42.1294712	-80.0852695
20230207	VinylChloride	Sioux Falls(Mitchell)	SD	21	Sioux Falls	43.5488256	-96.7307737
20230207	VinylChloride	Billings,	MT	20	Billings,	45.7547785	-108.6149764
20230207	VinylChloride	Huntsville-Decatur (Florence)	AL	20	Decatur	34.6240205	-87.05791872812708
20230207	VinylChloride	Wichita Falls TX & Lawton	OK	19	Lawton	34.6086854	-98.3903305
20230207	VinylChloride	Eugene	OR	18	Eugene	44.0505054	-123.0950506
20230207	VinylChloride	Pittsburgh	PA	17	Pittsburgh	40.4416941	-79.9900861
20230207	VinylChloride	Cleveland-Akron (Canton)	OH	15	Akron	41.083064	-81.518485
20230207	VinylChloride	Idaho Falls-Pocatello	ID	15	Pocatello	42.8620287	-112.450627
20230207	VinylChloride	Macon	GA	14	Macon	32.8406946	-83.6324022
20230207	VinylChloride	Corpus Christi	TX	14	Corpus Christi	27.7635302	-97.4033191
20230207	VinylChloride	Flint-Saginaw-Bay City	MI	14	Bay City	43.5944677	-83.8888648
20230207	VinylChloride	La Crosse-Eau Claire	WI	13	Eau Claire	44.811349	-91.4984941
20230207	VinylChloride	Topeka	KS	12	Topeka	39.049011	-95.677556
20230207	VinylChloride	Evansville	IN	11	Evansville	37.9747645	-87.5558483
20230207	VinylChloride	Charlottesville	VA	11	Charlottesville	38.029306	-78.4766781
20230207	VinylChloride	Gainesville	FL	10	Gainesville	29.6519684	-82.3249846
20230207	VinylChloride	Shreveport	LA	10	Shreveport	32.4707862	-93.7559378
20230207	VinylChloride	Little Rock-Pine Bluff	AR	8	Pine Bluff	34.2157064	-92.0140402
20230207	VinylChloride	Colorado Springs-Pueblo	CO	7	Pueblo	38.2544472	-104.609141
20230207	VinylChloride	Tulsa	OK	7	Tulsa	36.1563122	-95.9927516
20230207	VinylChloride	Toledo	OH	6	Toledo	41.6529143	-83.5378173
20230207	VinylChloride	Columbus	OH	6	Columbus	39.9622601	-83.0007065
20230207	VinylChloride	Providence RI-New Bedford	MA	6	New Bedford	41.6362152	-70.934205
20230207	VinylChloride	Cedar Rapids-Waterloo-Iowa City & Dubuque	IA	6	Dubuque	42.5006243	-90.6647985
20230207	VinylChloride	Grand Rapids-Kalamazoo-Battle Creek	MI	6	Battle Creek	42.3192548	-85.1824269
20230207	VinylChloride	Cincinnati	OH	6	Cincinnati	39.1014537	-84.5124602
20230207	VinylChloride	Portland-Auburn	ME	5	Auburn	44.0978509	-70.2311655
20230207	VinylChloride	Oklahoma City	OK	5	Oklahoma City	35.4729886	-97.5170536
20230207	VinylChloride	Buffalo	NY	4	Buffalo	42.8867166	-78.8783922
20230207	VinylChloride	Tucson (Sierra Vista)	AZ	4	Tucson	32.2228765	-110.9748477
20230207	VinylChloride	Wilkes Barre-Scranton	PA	4	Scranton	41.4086874	-75.6621294
20230207	VinylChloride	St. Louis	MO	3	St. Louis	38.6280278	-90.1910154
20230207	VinylChloride	Detroit	MI	3	Detroit	42.3315509	-83.0466403
20230207	VinylChloride	Memphis	TN	3	Memphis	35.1460249	-90.0517638
20230207	VinylChloride	Ft. Myers-Naples	FL	3	Naples	26.1421976	-81.7942944
20230207	VinylChloride	Birmingham	AL	3	Birmingham	33.5206824	-86.8024326
20230207	VinylChloride	New Orleans	LA	3	New Orleans	29.9759983	-90.0782127
20230207	VinylChloride	Nashville	TN	3	Nashville	36.1622767	-86.7742984
20230207	VinylChloride	Seattle-Tacoma	WA	2	Tacoma	47.2495798	-122.439874
20230207	VinylChloride	Baltimore	MD	2	Baltimore	39.2908816	-76.610759
20230207	VinylChloride	Portland	OR	2	Portland	45.5202471	-122.674194
20230207	VinylChloride	Tampa-St. Petersburg (Sarasota)	FL	2	St. Petersburg	27.7703796	-82.6695085
20230207	VinylChloride	Dallas-Ft. Worth	TX	2	Ft. Worth	32.753177	-97.3327459
20230207	VinylChloride	Boston MA-Manchester	NH	1	Manchester	42.9956397	-71.4547891
20230207	VinylChloride	Philadelphia	PA	1	Philadelphia	39.9527237	-75.1635262
20230207	VinylChloride	Phoenix	AZ	1	Phoenix	33.4484367	-112.074141
20230207	VinylChloride	Houston	TX	1	Houston	29.7589382	-95.3676974
20230207	VinylChloride	Atlanta	GA	1	Atlanta	33.7489924	-84.3902644
20230207	VinylChloride	New York	NY	1	New York	40.7127281	-74.0060152
20230207	VinylChloride	Los Angeles	CA	1	Los Angeles	34.0536909	-118.242766
20230208	VinylChloride	Juneau	AK	100	Juneau	58.3019496	-134.419734
20230208	VinylChloride	San Angelo	TX	47	San Angelo	31.4649685	-100.4405094
20230208	VinylChloride	St. Joseph	MO	39	St. Joseph	39.7686055	-94.8466322
20230208	VinylChloride	Ottumwa IA-Kirksville	MO	39	Kirksville	40.1948848	-92.5833939
20230208	VinylChloride	Wheeling WV-Steubenville	OH	30	Steubenville	40.3697905	-80.6339638
20230208	VinylChloride	Sherman TX-Ada	OK	27	Ada	34.7743383	-96.6783651
20230208	VinylChloride	Youngstown	OH	23	Youngstown	41.1035786	-80.6520161
20230208	VinylChloride	Quincy IL-Hannibal MO-Keokuk	IA	19	Keokuk	41.3154792	-92.1867128
20230208	VinylChloride	Biloxi-Gulfport	MS	18	Gulfport	30.3674198	-89.0928155
20230208	VinylChloride	Sioux Falls(Mitchell)	SD	17	Sioux Falls	43.5488256	-96.7307737
20230208	VinylChloride	Binghamton	NY	17	Binghamton	42.0987125	-75.9125262
20230208	VinylChloride	Butte-Bozeman	MT	15	Bozeman	45.6794293	-111.044047
20230208	VinylChloride	Minot-Bismarck-Dickinson(Williston)	ND	14	Dickinson	46.8791756	-102.7896242
20230208	VinylChloride	Chico-Redding	CA	13	Redding	40.5863563	-122.391675
20230208	VinylChloride	Utica	NY	13	Utica	43.1009031	-75.2326641
20230208	VinylChloride	Palm Springs	CA	12	Palm Springs	33.77217945	-116.49529769683984
20230208	VinylChloride	Montgomery (Selma)	AL	10	Montgomery	32.3669656	-86.3006485
20230208	VinylChloride	Charleston-Huntington	WV	9	Huntington	38.4192496	-82.445154
20230208	VinylChloride	Salisbury	MD	9	Salisbury	38.366027	-75.6009964
20230208	VinylChloride	Tri-Cities	TN-VA	7	Cities	36.457685	-82.534731
20230208	VinylChloride	Peoria-Bloomington	IL	7	Bloomington	40.4797828	-88.9939147
20230208	VinylChloride	Columbia	SC	7	Columbia	34.0007493	-81.0343313
20230208	VinylChloride	Ft. Wayne	IN	6	Ft. Wayne	41.0799898	-85.1386015
20230208	VinylChloride	Charlottesville	VA	6	Charlottesville	38.029306	-78.4766781
20230208	VinylChloride	La Crosse-Eau Claire	WI	5	Eau Claire	44.811349	-91.4984941
20230208	VinylChloride	Wilkes Barre-Scranton	PA	5	Scranton	41.4086874	-75.6621294
20230208	VinylChloride	Des Moines-Ames	IA	5	Ames	42.0267567	-93.6170448
20230208	VinylChloride	Colorado Springs-Pueblo	CO	4	Pueblo	38.2544472	-104.609141
20230208	VinylChloride	Omaha	NE	3	Omaha	41.2587459	-95.9383758
20230208	VinylChloride	Toledo	OH	3	Toledo	41.6529143	-83.5378173
20230208	VinylChloride	Fresno-Visalia	CA	3	Visalia	36.3302284	-119.292058
20230208	VinylChloride	El Paso	TX	3	El Paso	31.7865623	-106.441207
20230208	VinylChloride	Buffalo	NY	3	Buffalo	42.8867166	-78.8783922
20230208	VinylChloride	West Palm Beach-Ft. Pierce	FL	3	Ft. Pierce	27.4467056	-80.3256056
20230208	VinylChloride	Pittsburgh	PA	3	Pittsburgh	40.4416941	-79.9900861
20230208	VinylChloride	Salt Lake City	UT	3	Salt Lake City	40.7596198	-111.886797
20230208	VinylChloride	Cleveland-Akron (Canton)	OH	2	Akron	41.083064	-81.518485
20230208	VinylChloride	Providence RI-New Bedford	MA	2	New Bedford	41.6362152	-70.934205
20230208	VinylChloride	Albany-Schenectady-Troy	NY	2	Troy	42.7284117	-73.6917878
20230208	VinylChloride	Raleigh-Durham (Fayetteville)	NC	2	Durham	35.996653	-78.9018053
20230208	VinylChloride	Columbus	OH	2	Columbus	39.9622601	-83.0007065
20230208	VinylChloride	Portland	OR	1	Portland	45.5202471	-122.674194
20230208	VinylChloride	Chicago	IL	1	Chicago	41.8755616	-87.6244212
20230208	VinylChloride	Tampa-St. Petersburg (Sarasota)	FL	1	St. Petersburg	27.7703796	-82.6695085
20230208	VinylChloride	Las Vegas	NV	1	Las Vegas	36.1672559	-115.148516
20230208	VinylChloride	Cincinnati	OH	1	Cincinnati	39.1014537	-84.5124602
20230208	VinylChloride	Nashville	TN	1	Nashville	36.1622767	-86.7742984
20230208	VinylChloride	Phoenix	AZ	1	Phoenix	33.4484367	-112.074141
20230208	VinylChloride	Miami-Ft. Lauderdale	FL	1	Ft. Lauderdale	26.1223084	-80.1433786
20230209	VinylChloride	Juneau	AK	100	Juneau	58.3019496	-134.419734
20230209	VinylChloride	Cheyenne WY-Scottsbluff	NE	92	Scottsbluff	41.862302	-103.6627088
20230209	VinylChloride	Lima	OH	73	Lima	40.7399785	-84.105006
20230209	VinylChloride	Grand Junction-Montrose	CO	68	Montrose	38.4375391	-108.2403855
20230209	VinylChloride	Twin Falls	ID	57	Twin Falls	42.5704456	-114.4602554
20230209	VinylChloride	Missoula	MT	48	Missoula	46.8701049	-113.995267
20230209	VinylChloride	Sherman TX-Ada	OK	43	Ada	34.7743383	-96.6783651
20230209	VinylChloride	Quincy IL-Hannibal MO-Keokuk	IA	38	Keokuk	41.3154792	-92.1867128
20230209	VinylChloride	Jackson	MS	35	Jackson	32.3086744	-90.1983063
20230209	VinylChloride	Fairbanks	AK	34	Fairbanks	64.837845	-147.716675
20230209	VinylChloride	Eureka	CA	26	Eureka	40.7906871	-124.1673746
20230209	VinylChloride	Macon	GA	26	Macon	32.8406946	-83.6324022
20230209	VinylChloride	Albany	GA	25	Albany	31.5782062	-84.1556809
20230209	VinylChloride	San Angelo	TX	23	San Angelo	31.4649685	-100.4405094
